# Time (s),Altitude AGL (m),Speed - Velocity Magnitude (m/s),acceleration Magnitude (m/s²),Pressure (Pa)
7.180327,1140.592573,252.419629,15.948397,88665.095100
7.223199,1151.327892,251.737840,15.911523,88558.443766
7.266071,1162.034015,251.057663,15.875447,88452.082482
7.308943,1172.711006,250.379076,15.839798,88346.010625
7.351815,1183.358926,249.702063,15.804217,88240.227565
7.397034,1194.558242,248.989686,15.766459,88128.966603
7.442252,1205.725365,248.279043,15.728286,88018.025462
7.487471,1216.860373,247.570131,15.689675,87907.403373
7.532690,1227.963345,246.862954,15.650775,87797.099547
7.565075,1235.895459,246.357551,15.622894,87718.297001
7.597459,1243.811212,245.853037,15.595123,87639.656993
7.629844,1251.710633,245.349407,15.567580,87561.179231
7.662844,1259.743170,244.837128,15.539834,87481.379025
7.695843,1267.758809,244.325757,15.512467,87401.746680
7.728842,1275.757582,243.815289,15.485497,87322.281898
7.773217,1286.487046,243.130271,15.449819,87215.688734
7.817591,1297.186136,242.446855,15.414694,87109.397329
7.861965,1307.854917,241.765026,15.379931,87003.407029
7.906340,1318.493456,241.084771,15.345329,86897.717167
7.961083,1331.576156,240.247726,15.302616,86767.745497
8.015825,1344.613060,239.413050,15.259724,86638.228793
8.070568,1357.604296,238.580733,15.216659,86509.165785
8.125310,1370.549992,237.750766,15.173596,86380.555188
8.158618,1378.404363,237.246931,15.147502,86302.524994
8.191925,1386.241952,236.743959,15.121560,86224.661512
8.225232,1394.062789,236.241845,15.095824,86146.964457
8.262632,1402.824730,235.679048,15.067211,86059.917884
8.300032,1411.565626,235.117321,15.038922,85973.080397
8.337432,1420.285515,234.556656,15.010952,85886.451604
8.400301,1434.896268,233.616563,14.964559,85741.299295
8.463170,1449.447959,232.679420,14.918712,85596.733756
8.526039,1463.940762,231.745201,14.873142,85452.753251
8.588908,1478.374854,230.813883,14.827662,85309.356009
8.619248,1485.319666,230.365470,14.805721,85240.361929
8.649588,1492.250867,229.917726,14.783789,85171.503074
8.679928,1499.168476,229.470650,14.761881,85102.779244
8.735298,1511.758143,228.656446,26.030536,84978.669207
8.735447,1511.791820,228.652585,26.029943,84978.349100
8.735595,1511.825496,228.648725,26.029349,84978.028999
8.735744,1511.859172,228.644865,26.028756,84977.708903
8.735892,1511.892847,228.641004,26.028163,84977.388812
8.736040,1511.926522,228.637144,26.027570,84977.068727
8.736337,1511.993870,228.629424,26.026384,84976.428567
8.736634,1512.061216,228.621704,26.025198,84975.788429
8.736931,1512.128559,228.613985,26.024012,84975.148312
8.739898,1512.801868,228.536809,26.012162,84968.748341
8.742866,1513.474948,228.459669,26.000329,84962.350538
8.745834,1514.147801,228.382563,25.988512,84955.954903
8.775510,1520.863806,227.613432,25.871211,84892.117557
8.805186,1527.557120,226.847763,25.755406,84828.495889
8.834863,1534.227846,226.085514,25.640976,84765.088939
8.864539,1540.876082,225.326647,25.527807,84701.895754
8.891601,1546.919045,224.637557,25.425620,84644.455846
8.932043,1555.915339,223.612877,25.274558,84558.943771
8.963086,1562.792910,222.830468,25.159847,84493.570695
8.994129,1569.646333,222.051609,25.046147,84428.427159
9.017176,1574.718996,221.475638,24.962356,84380.210202
9.040224,1579.778450,220.901595,24.879075,84332.118793
9.063271,1584.824741,220.329470,24.796285,84284.152507
9.099647,1592.762570,219.430369,24.666578,84208.701416
9.136022,1600.667877,218.535978,24.537984,84133.559449
9.172398,1608.540846,217.646256,24.410440,84058.724870
9.208774,1616.381644,216.761163,24.283898,83984.196073
9.256916,1626.709534,215.596824,24.117915,83886.026842
9.305058,1636.981746,214.440446,23.953626,83788.386841
9.353200,1647.198654,213.291947,23.791073,83691.272519
9.401342,1657.360631,212.151241,23.630312,83594.680330
9.449484,1667.468048,211.018242,23.471390,83498.606742
9.507119,1679.497153,209.671855,23.283587,83384.267026
9.564753,1691.449208,208.336233,23.098488,83270.659689
9.610625,1700.907331,207.280786,22.953122,83180.757805
9.656497,1710.317335,206.231982,22.809514,83091.313310
9.702369,1719.679520,205.189741,22.667668,83002.323351
9.748241,1728.994181,204.153983,22.527511,82913.785111
9.794113,1738.261613,203.124634,22.388950,82825.695807
9.839985,1747.482103,202.101623,22.251894,82738.052690
9.914454,1762.351605,200.454171,22.032371,82596.714271
9.988924,1777.099356,198.822977,21.816255,82456.533120
10.046489,1788.416807,197.573036,21.651367,82348.957861
10.104055,1799.662760,196.332555,21.488257,82242.062194
10.161620,1810.837755,195.101435,21.326825,82135.841017
10.219186,1821.942320,193.879585,21.166968,82030.289280
10.276751,1832.976984,192.666917,21.008592,81925.401982
10.334317,1843.942266,191.463352,20.851613,81821.174170
10.405085,1857.328048,189.996116,20.660452,81693.938890
10.475852,1870.610706,188.542384,20.471220,81567.683829
10.546620,1883.791181,187.102023,20.283876,81442.400044
10.617388,1896.870404,185.674897,20.098429,81318.078681
10.688156,1909.849298,184.260870,19.914954,81194.710975
10.758923,1922.728775,182.859797,19.733595,81072.288256
10.829691,1935.509736,181.471519,19.554561,80950.801952
10.900459,1948.193072,180.095862,19.378122,80830.243600
10.971226,1960.779660,178.732634,19.204584,80710.604861
11.041994,1973.270363,177.381620,19.034278,80591.877532
11.112762,1985.666029,176.042583,18.867535,80474.053564
11.183530,1997.967485,174.715261,18.704667,80357.125077
11.254297,2010.175542,173.399373,18.545943,80241.084373
11.325065,2022.290989,172.094617,18.391562,80125.923950
11.395833,2034.314594,170.800683,18.241647,80011.636510
11.466601,2046.247102,169.517251,18.096237,79905.212678
11.537368,2058.089236,168.244004,17.955268,79800.388823
11.608136,2069.841698,166.980632,17.818567,79696.358730
11.678904,2081.505166,165.726838,17.685902,79593.116385
11.749672,2093.080302,164.482347,17.557003,79490.655943
11.853544,2109.911537,162.672009,17.374020,79341.669709
11.934811,2122.949451,161.268760,17.235483,79226.261092
12.016078,2135.873832,159.876693,17.100521,79111.857437
12.097346,2148.685567,158.495537,16.968708,78998.450901
12.178613,2161.385520,157.125054,16.839664,78886.033828
12.259880,2173.974539,155.765033,16.713077,78774.598723
12.341147,2186.453454,154.415285,16.588704,78664.138236
12.422415,2198.823080,153.075640,16.466358,78554.645140
12.503682,2211.084222,151.745939,16.345888,78446.112331
12.584949,2223.237668,150.426035,16.227180,78338.532814
12.683858,2237.885209,148.832623,16.084986,78208.876146
12.782766,2252.375758,147.253274,15.945247,78080.609133
12.881675,2266.710674,145.687747,15.807960,77953.719747
12.980584,2280.891292,144.135805,15.673143,77828.196171
13.079493,2294.918922,142.597208,15.540811,77704.026802
13.178401,2308.794853,141.071716,15.410973,77581.200254
13.277310,2322.520344,139.559085,15.283628,77459.705356
13.376219,2336.096634,138.059070,15.158771,77339.531152
13.500937,2353.004724,136.185246,15.004878,77189.864620
13.625655,2369.679894,134.330608,14.854903,77042.259839
13.750373,2386.124464,132.494681,14.708664,76896.696284
13.875091,2402.340694,130.677020,14.565964,76753.153941
13.999809,2418.330790,128.877202,14.426629,76611.613281
14.153721,2437.755322,126.680088,14.259084,76439.671779
14.268343,2452.002045,125.060675,14.137319,76313.563054
14.382966,2466.063360,123.455324,14.018010,76189.095523
14.497589,2479.940825,121.863764,13.901063,76066.255394
14.612211,2493.635965,120.285736,13.786408,75945.029152
14.726834,2507.150279,118.720986,13.673991,75825.403545
14.872294,2524.042359,116.753997,13.534515,75675.878735
14.992262,2537.758908,115.147151,13.422157,75554.462990
15.112231,2551.282578,113.553962,13.312240,75434.754572
15.232200,2564.614941,111.974146,13.204807,75316.739552
15.352169,2577.757535,110.407413,13.099915,75200.404321
15.541111,2598.074969,107.965728,12.940023,75020.559065
15.681514,2612.873822,106.171143,12.825541,74889.563014
15.821918,2627.420185,104.392906,12.714842,74760.801945
15.962321,2641.716226,102.630504,12.607954,74634.256672
16.102724,2655.764039,100.883425,12.504840,74509.908656
16.299941,2675.080812,98.454331,12.366168,74338.921013
16.460681,2690.469229,96.495233,12.258159,74202.706278
16.621420,2705.541296,94.554036,12.154292,74069.291808
16.782160,2720.299679,92.630147,12.054209,73938.653988
16.942900,2734.746950,90.723032,11.957575,73810.770057
17.149456,2752.859386,88.296196,11.838007,73650.442932
17.356012,2770.467239,85.895364,11.723192,73494.582259
17.562569,2787.575389,83.519717,11.612794,73343.144841
17.769125,2804.188524,81.168510,11.506592,73196.089188
17.975681,2820.311148,78.841052,11.404432,73053.375415
18.182237,2835.947598,76.536697,11.306209,72914.965155
18.388793,2851.102040,74.254838,11.211838,72780.821513
18.595350,2865.778480,71.994909,11.121241,72650.909035
18.801906,2879.980764,69.756381,11.034337,72525.193678
19.008462,2893.712581,67.538773,10.951038,72403.642783
19.294466,2911.955868,64.501960,10.841463,72242.157396
19.525770,2926.061408,62.074032,10.757527,72117.298392
19.757074,2939.591738,59.670801,10.677584,71997.531011
19.988378,2952.551111,57.292017,10.601471,71882.817615
20.219682,2964.943577,54.937567,10.529039,71773.122351
20.450986,2976.772993,52.607497,10.460150,71668.411079
20.682290,2988.043028,50.302032,10.394674,71568.651318
20.913594,2998.757170,48.021608,10.332485,71473.812191
21.164884,3009.770965,45.573320,10.268497,71376.320609
21.416175,3020.136615,43.156681,10.208070,71284.566253
21.667465,3029.857890,40.773499,10.151036,71198.515754
21.918756,3038.938365,38.426235,10.097213,71118.137480
22.170046,3047.381430,36.118177,10.046403,71043.401400
22.486453,3057.110684,33.274659,9.986380,70957.280279
22.802859,3065.840463,30.512208,9.930338,70880.006281
23.119265,3073.576364,27.847590,9.877789,70811.529861
23.382192,3079.252405,25.724451,9.836405,70761.286848
23.645118,3084.248633,23.703401,9.796736,70717.061383
23.908045,3088.567790,21.808747,9.758389,70678.829202
24.170971,3092.212524,20.072198,9.720875,70646.566847
24.388762,3094.722732,18.782007,9.689977,70624.347068
24.606553,3096.773434,17.655309,9.658740,70606.194724
24.824344,3098.366111,16.722770,9.626582,70592.096714
25.042135,3099.502285,16.015860,9.592856,70582.039560
25.259925,3100.183551,15.562796,9.556965,70576.009146
25.438236,3100.403814,15.395101,9.525748,70574.059432
25.478751,3100.411606,15.383211,9.501489,70573.990458
25.480000,3100.411598,15.382999,9.501018,70573.990529
25.486571,3100.411106,15.382040,9.499101,70573.994887
25.493142,3100.410203,15.381624,9.498022,70574.002875
25.506285,3100.407578,15.381558,9.495854,70574.026110
25.519427,3100.403313,15.382514,9.493679,70574.063861
25.532569,3100.397409,15.384492,9.491497,70574.116126
25.663992,3100.248268,15.460207,9.469373,70575.436284
25.795416,3099.935587,15.635984,9.447055,70578.204066
25.926839,3099.459745,15.908140,9.425231,70582.416109
26.058262,3098.821115,16.271555,9.404844,70588.069117
26.229756,3097.743532,16.872805,9.382442,70597.607632
26.401250,3096.389995,17.604180,9.367879,70609.588838
26.480000,3095.676123,17.979510,9.364845,70615.907868
26.503877,3095.446511,18.004517,8.497824,70617.940338
26.527755,3095.212566,18.031581,8.455512,70620.011170
26.575510,3094.736051,18.091898,8.371099,70624.229164
26.623265,3094.242380,18.159885,8.287179,70628.599028
26.671020,3093.731731,18.235134,8.203675,70633.119177
26.954509,3090.360312,18.810026,7.713211,70662.962205
27.237998,3086.435326,19.548604,7.226047,70697.705282
27.521487,3081.995425,20.384761,6.739660,70737.006262
27.804976,3077.080205,21.266195,6.256020,70780.514665
28.218401,3069.142056,22.554663,5.564820,70850.781341
28.631825,3060.398482,23.776971,4.904834,70928.177449
29.045249,3050.965185,24.888928,4.290063,71011.678825
29.458673,3040.949099,25.871191,3.729997,71100.338921
29.980946,3027.610416,26.922317,3.107320,71218.409881
30.503219,3013.661626,27.774831,2.578999,71341.881369
31.025492,2999.241081,28.453261,2.138056,71469.528725
31.547765,2984.460193,28.985237,1.773997,71600.365752
32.218960,2965.076820,29.496820,1.400426,71771.942923
32.890156,2945.382421,29.858910,1.111847,71946.273218
33.561352,2925.477200,30.110431,0.888820,72122.469662
34.232548,2905.434052,30.282327,0.715817,72299.887010
34.903743,2885.302082,30.396641,0.581178,72478.090584
35.613127,2863.965573,30.472633,0.470909,72666.956471
36.322512,2842.595425,30.516164,0.386020,72856.120109
37.031896,2821.210081,30.536926,0.320815,73045.418267
37.741280,2799.821721,30.541650,0.271000,73234.743123
38.450664,2778.438523,30.535106,0.233265,73424.022286
39.299648,2752.861454,30.517009,0.200359,73650.424624
40.148631,2727.305280,30.491397,0.177452,73876.642016
40.997615,2701.773599,30.460882,0.161745,74102.642591
41.846599,2676.268345,30.427063,0.151081,74328.409250
42.704052,2650.536695,30.390711,0.143801,74556.179910
43.561506,2624.834007,30.352983,0.138869,74783.694205
44.418959,2599.160656,30.314425,0.135488,75010.948816
45.276413,2573.516804,30.275408,0.133127,75237.942301
46.814324,2527.596556,30.205073,0.130442,75644.417802
48.352235,2481.771210,30.135121,0.128849,76050.053239
49.890146,2436.040084,30.065984,0.127810,76454.854676
51.428057,2390.402442,29.997924,0.127063,76858.828608
53.176423,2338.632254,29.922206,0.126413,77317.086428
54.924789,2286.981091,29.848394,0.125899,77774.290660
56.673154,2235.447829,29.776552,0.125456,78230.451268
58.362829,2185.755464,29.709007,0.125059,78670.316679
60.052504,2136.171204,29.643325,0.124678,79109.225169
61.742179,2086.694134,29.579527,0.124312,79547.184830
63.729720,2028.630883,29.506748,0.125036,80065.661636
64.226605,2014.137903,29.488840,0.127779,80203.421114
64.723490,1999.654000,29.470939,0.130136,80341.094315
65.220375,1985.179148,29.453076,0.132145,80478.681484
65.973132,1963.267641,29.426150,0.134634,80686.955962
66.725889,1941.376773,29.399456,0.136560,80895.034269
67.478646,1919.506459,29.373054,0.138038,81102.917193
69.117197,1871.971299,29.316783,0.140085,81554.751041
70.755749,1824.532283,29.262423,0.141188,82005.671024
72.394300,1777.188604,29.210112,0.141709,82455.684799
74.032852,1729.939460,29.159913,0.141845,82904.799995
75.603920,1684.724265,29.113817,0.141787,83334.581991
77.174989,1639.594623,29.069737,0.141619,83763.550775
78.746057,1594.549878,29.027677,0.141389,84191.712597
79.983344,1559.134473,28.995969,0.141184,84528.345077
81.220631,1523.771006,28.965505,0.140966,84864.483877
81.925855,1503.637871,28.948568,0.150861,85058.377496
82.479433,1487.846003,28.935214,0.177074,85215.263728
83.033010,1472.064917,28.921788,0.199080,85372.042840
83.586587,1456.294879,28.908594,0.217417,85528.712198
84.308825,1435.737032,28.892124,0.236647,85732.946632
85.031062,1415.198542,28.876882,0.251776,85936.988749
85.753299,1394.679401,28.863077,0.263594,86140.838649
86.475536,1374.179560,28.850862,0.272790,86344.496811
87.875827,1334.488781,28.832133,0.285128,86738.809675
89.276118,1294.869790,28.820238,0.292654,87132.409354
90.676409,1255.321719,28.815188,0.297124,87525.304460
92.076700,1215.843834,28.816932,0.299657,87917.502303
93.694188,1170.329297,28.827419,0.301143,88369.671999
95.311677,1124.906908,28.846881,0.301742,88820.926238
96.929165,1079.575689,28.875089,0.301808,89271.274738
98.546653,1034.334782,28.911860,0.301561,89720.726025
98.963709,1022.684361,28.922732,0.301467,89836.468545
99.380765,1011.039902,28.934176,0.301364,89952.151833
99.797821,999.401427,28.946220,0.308394,90070.165800
100.402164,982.547388,28.964975,0.324033,90243.509036
101.006507,965.706682,28.985553,0.336654,90416.715148
101.610850,948.879724,29.008192,0.346817,90589.779869
102.310952,929.404067,29.037169,0.356142,90790.086365
103.011053,909.947367,29.069165,0.363366,90990.197889
103.711154,890.509672,29.104183,0.368943,91190.113942
104.962569,855.812468,29.174214,0.375773,91546.973549
106.213985,821.175564,29.253399,0.380039,91903.212979
107.465400,786.598388,29.341354,0.382582,92258.838106
108.126028,768.368798,29.391181,0.383424,92446.328838
108.515569,757.627377,29.420066,0.367186,92558.236639
108.905110,746.891676,29.445183,0.339542,92671.437735
109.294650,736.161725,29.465392,0.318258,92784.578205
109.728270,724.224441,29.482786,0.300783,92910.449231
110.161890,712.294430,29.495482,0.288569,93036.243564
110.595510,700.371786,29.504140,0.280409,93161.960228
111.327819,680.253411,29.511061,0.273059,93374.095620
112.060129,660.156632,29.510757,0.270606,93586.003305
112.792438,640.081659,29.505108,0.270687,93797.681057
113.524748,620.028608,29.495656,0.271899,94009.127655
114.630502,589.791029,29.476819,0.274296,94327.963578
115.736256,559.603495,29.455228,0.276465,94646.271820
116.842011,529.465781,29.432922,0.278087,94964.054739
117.118449,521.939113,29.425907,0.265210,95045.413934
117.394888,514.415602,29.413902,0.252504,95128.390171
117.671327,506.895358,29.395639,0.252897,95211.330373
117.947765,499.378509,29.371946,0.262999,95294.233141
118.500642,484.355438,29.310289,0.299084,95459.921456
119.053520,469.347189,29.232776,0.341750,95625.446301
119.606397,454.354381,29.142796,0.382657,95790.800846
119.770000,449.920851,29.114221,-3.313984,95839.697916
119.821041,448.538040,29.105106,0.397341,95854.948838
119.872081,447.155365,29.095919,0.400698,95870.198256
120.262113,436.593526,29.023887,0.425181,95986.683975
120.652146,426.039719,28.948505,0.447079,96103.081115
120.770000,422.852305,28.925168,0.453192,96138.234865
120.772137,422.794822,28.793924,64.637145,96138.868850
120.774273,422.737629,28.664189,63.923644,96139.499621
120.778546,422.623821,28.407744,62.522952,96140.754804
120.782820,422.511153,28.157127,61.166527,96141.997409
120.787093,422.399601,27.912153,59.852525,96143.227710
120.809652,421.828314,26.706003,53.554340,96149.528392
120.832210,421.284245,25.629252,48.172778,96155.528887
120.854769,420.764680,24.663384,43.539059,96161.259127
120.877328,420.267263,23.793109,39.521026,96166.745106
120.911571,419.550000,22.626757,34.369996,96174.655741
120.945813,418.873071,21.616617,30.125983,96182.121540
120.980056,418.231504,20.735441,26.588942,96189.197337
121.014299,417.621110,19.961599,23.610135,96195.929319
121.048541,417.038395,19.278057,21.078456,96202.356043
121.106532,416.106536,18.289191,17.582174,96212.633443
121.164523,415.233924,17.470329,14.837072,96222.257422
121.222514,414.411185,16.784091,12.642557,96231.331345
121.280505,413.630969,16.203508,10.862507,96239.936292
121.338496,412.887274,15.708096,9.400080,96248.138440
121.396487,412.175154,15.282108,8.185049,96255.992360
121.490737,411.074870,14.707526,6.610251,96268.127310
121.584987,410.033306,14.245944,5.400726,96279.614640
121.679236,409.039651,13.870146,4.454809,96290.573593
121.773486,408.085469,13.560659,3.703964,96301.097195
121.867735,407.164046,13.303185,3.100471,96311.259499
121.961985,406.269992,13.087059,2.610342,96321.119945
122.120237,404.818681,12.795788,1.977241,96337.126344
122.278489,403.416391,12.571356,1.515539,96352.592096
122.436741,402.051411,12.395387,1.174136,96367.646365
122.594994,400.715055,12.255233,0.919385,96382.384935
122.753246,399.400743,12.141897,0.728241,96396.880377
122.911498,398.103510,12.048916,0.584648,96411.187464
123.159299,396.097754,11.933292,0.428844,96433.308798
123.407100,394.114171,11.843405,0.331311,96455.185581
123.654901,392.145804,11.771132,0.272023,96476.894549
123.902702,390.187857,11.710967,0.236825,96498.488598
124.150503,388.237042,11.659160,0.216012,96520.004000
124.500543,385.489476,11.595617,0.199832,96550.306692
124.850583,382.747945,11.539342,0.191165,96580.542834
125.200623,380.010054,11.487516,0.185934,96610.738820
125.550663,377.274593,11.438639,0.182485,96640.908017
125.926351,374.340487,11.388292,0.179889,96673.268050
126.302039,371.407742,11.339472,0.178036,96705.613079
126.677728,368.475973,11.291645,0.176675,96737.947334
127.052945,365.548655,11.244563,0.175660,96770.232504
127.428163,362.622030,11.198007,0.174896,96802.510036
127.803380,359.696053,11.151879,0.174317,96834.780406
128.177261,356.781117,11.106275,0.173878,96866.929016
128.551142,353.866780,11.060982,0.173541,96899.071024
128.925022,350.953032,11.015970,0.173280,96931.206534
129.516654,346.343485,10.945273,0.172976,96982.044878
130.108286,341.735391,10.875189,0.172765,97032.867202
130.699919,337.128741,10.805689,0.172612,97083.673592
131.564366,330.400451,10.705172,0.172448,97157.879394
132.428813,323.675237,10.605881,0.172328,97232.051275
133.293260,316.953095,10.507831,0.172227,97306.189275
134.466608,307.833777,10.376771,0.172105,97406.765543
135.639955,298.720094,10.248112,0.171993,97507.279667
136.813303,289.612029,10.121928,0.171884,97607.731823
138.252926,278.444662,9.970616,0.171752,97730.895875
139.692550,267.285709,9.823325,0.171621,97853.967125
141.132173,256.135150,9.680229,0.171492,97976.945799
142.083606,248.770445,9.588036,0.171407,98058.170579
144.666073,228.798784,9.347773,0.171174,98278.436523
147.248540,208.853829,9.122981,0.170944,98498.407922
149.831006,188.935448,8.914740,0.170715,98718.086242
153.981088,156.981524,8.617498,0.170351,99070.503665
158.131170,125.095310,8.370256,0.169989,99422.174313
162.281252,93.276192,8.177154,0.169631,99773.104962
164.882865,73.363281,8.085312,0.169408,99992.722956
164.971602,72.684539,8.082592,0.169092,100000.000000
165.060340,72.005824,8.080045,0.158067,100000.000000
165.149077,71.327133,8.077702,0.147688,100000.000000
165.326552,69.969800,8.073592,0.128863,100000.000000
165.504027,68.612515,8.070145,0.112397,100000.000000
165.681502,67.255260,8.067248,0.098023,100000.000000
166.039768,64.515436,8.062740,0.074485,100000.000000
166.398034,61.775612,8.059510,0.056744,100000.000000
166.756301,59.035753,8.057118,0.043259,100000.000000
167.114567,56.295862,8.055316,0.032969,100000.000000
167.576695,52.761642,8.053641,0.023277,100000.000000
168.038823,49.227397,8.052470,0.016464,100000.000000
168.500951,45.693139,8.051648,0.011657,100000.000000
168.963078,42.158871,8.051068,0.008255,100000.000000
169.656210,36.857919,8.050511,0.004971,100000.000000
170.349342,31.556958,8.050184,0.003023,100000.000000
171.042474,26.255991,8.049989,0.001846,100000.000000
171.735605,20.955019,8.049871,0.001125,100000.000000
172.796417,12.842076,8.049784,0.000564,100000.000000
173.857228,4.729123,8.049749,0.000303,100000.000000
174.475585,-0.000000,8.049740,0.000000,100000.000000
